país,año,ln_pib,Erogaciones.totales_pib,Servicios.públicos.generales_pib,Defensa_pib,Orden.público.y.seguridad_pib,Asuntos.económicos_pib,Protección.del.medio.ambiente_pib,Vivienda.y.servicios.comunitarios_pib,Salud_pib,Actividades.recreativas..cultura.y.religión_pib,Educación_pib,Protección.social_pib,Consumo.final.de.los.hogares_pib,Formación.bruta.de.capital.fijo_pib,Exportaciones_pib,Importaciones_pib,Comercio_pib,Control.de.Corrupción,Efectividad.Gubernamental,Estabilidad.Política.y.Ausencia.de.Violencia,Estado.de.Derecho,Calidad.Regulatoria,Voz.y.Rendición.de.Cuentas,Gasto_Seguridad_Admin_pib,Gasto_Desarrollo_Social_pib,Gasto_Economico_Ambiental_pib,PC1,PC2,PC3,dummy_2000,dummy_2001,dummy_2002,dummy_2003,dummy_2004,dummy_2005,dummy_2006,dummy_2007,dummy_2008,dummy_2009,dummy_2010,dummy_2011,dummy_2012,dummy_2013,dummy_2014,dummy_2015,dummy_2016,dummy_2017,dummy_2018,dummy_2019,dummy_2020,dummy_2021,dummy_2022
Albania,2000,27.303349817386387,0.3105628742335053,0.045270681596057696,0.004254054146366956,0.01432037336679713,0.05923968465809329,2.6557948894842515e-4,0.02321174848783091,0.0202372264875602,0.01187179813638769,0.018524205108273403,0.05682581533079563,0.5754454625935854,0.22192000394315933,0.14755724183525806,0.3778626067505263,-0.23030536491526823,-0.8555636405944824,-0.9177801609039307,-0.5399895906448364,-1.0206676721572876,-0.41591012477874756,-0.28513866662979126,0.06384510910922178,0.09558724692662923,0.09458881077126031,0.39692491654668555,0.07970933181570516,0.7040220914249402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2001,27.383023034941104,0.1596332984635798,0.0048335296687425314,0.003204521721192001,0.011394492121805405,0.021322433097858057,1.6898887687903333e-9,0.01788826478720631,0.009866472134569166,7.242465080110431e-4,0.02195013584001703,0.08457824086633206,0.564701017964495,0.265198867063243,0.15731713636971387,0.40203805838787926,-0.2447209220181654,NA,NA,NA,NA,NA,NA,0.01943254351173994,0.11639484884091826,0.03993494608296418,-0.3414769695095351,-0.38699024708712587,0.16196528969327614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2002,27.4273893727885,0.28473218315982085,0.03699727840645148,0.010784237277153955,0.012537470454190949,0.010712897499666875,2.6557948894842515e-4,0.011352499372150203,0.029117771240240245,0.0014901807966369472,0.037259962124683396,0.07707327344869581,0.5989571775802175,0.269829440543741,0.15583607982159312,0.42234391003268956,-0.2665078302110965,-0.8453409075737,-0.624333381652832,-0.29771918058395386,-0.762321412563324,-0.31140077114105225,-0.008150209672749043,0.060318986137796383,0.14345100681361944,0.02382115715740245,-0.06748498408737655,-0.5609005332400208,0.3255819854007845,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2003,27.481201548047057,0.268811532262878,0.037821505136633356,0.011285473493131762,0.015078160323394716,0.019606426134146253,2.5818094610103896e-5,0.022649427015767408,0.02947007343363792,7.242465080110431e-4,0.027551993640458208,0.10970771118741167,0.6324231459869599,0.2825844508441252,0.16505761574873465,0.420738923812337,-0.25568130806360234,-0.8537865877151489,-0.5639867186546326,-0.3097802400588989,-0.7163234949111938,-0.49021655321121216,0.07030768692493439,0.06418513895315983,0.1667297782615078,0.04300591775253481,0.12111915631514589,-0.6683839839694657,0.36442879923459276,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2004,27.534881337642542,0.28250295831214356,0.0403558290849341,0.022801328648169018,0.011394492121805405,0.02534037739266117,2.6557948894842515e-4,0.029907280445491347,0.03003732045008093,0.0014901807966369472,0.03100259977012259,0.0816640867532205,0.6270136238440535,0.30693692681550044,0.18534545089179272,0.43151134692898147,-0.24616589603718875,-0.7237318158149719,-0.4083716571331024,-0.4272596836090088,-0.7010323405265808,-0.18749156594276428,0.007237499114125967,0.07455164985490852,0.142704006973424,0.05700341812373789,0.19919325695456294,-0.31964733579743143,0.23839472792504363,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2005,27.58867254000478,0.24209985283371843,0.05969847167294553,0.008729675768821698,0.014771047837427326,0.027325316975950118,1.550854195202466e-8,0.01464977826745817,0.02254775338320744,0.0032655980647213934,0.02753075003448289,0.06358146082870385,0.6455334888600417,0.31812841383440826,0.2182609402528462,0.47513738753940254,-0.25687644728655634,-0.8132638931274414,-0.6963872313499451,-0.5050479769706726,-0.7638331651687622,-0.40073123574256897,0.003671787679195404,0.08319919527919456,0.11365996424639419,0.04524070881667164,-0.014607922396242937,-0.3246617052018881,0.22720875622745026,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2006,27.646022715241017,0.25481529887879867,0.05497057234677994,0.011269993335839704,0.015960560151410147,0.038803785642908185,2.6557948894842515e-4,0.014391871353319255,0.02099998515951924,0.0032278784736461345,0.027438475599375973,0.06775217681600011,0.6673568592214718,0.3273052531846229,0.2409825268688278,0.4877152819319943,-0.24673275506316655,-0.7905452847480774,-0.5809526443481445,-0.5081573128700256,-0.7031358480453491,-0.14859938621520996,0.0758899599313736,0.08220112583402979,0.11619063757489533,0.056689114958822,0.02749584531494205,-0.3125296307511685,0.22886130372058877,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2007,27.704133681822658,0.2654589311467759,0.05055020468080168,0.01068373162576326,0.014101451637307793,0.048178743543690505,8.159314649097987e-5,0.011778084808361759,0.022404542575736458,0.002992030320327971,0.029399623211596213,0.07196273903327191,0.7338209329520372,0.32653653979767905,0.27083484024224624,0.5493907291264873,-0.2785558888842411,-0.7069400548934937,-0.4277225434780121,-0.203974649310112,-0.661545991897583,0.03455030173063278,0.11300846934318542,0.07533538794387273,0.12376690482060458,0.06303045181887121,0.015461997800835889,-0.37835796989525095,0.2742198591392694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2008,27.776454728799433,0.30387560101324856,0.061921499393682605,0.010349395733105319,0.014010917610458681,0.0693585469841494,1.7549746037414984e-4,0.01429802523881678,0.023097469113261042,0.003458088415294737,0.03279033098200729,0.07445679845619158,0.776430819835026,0.3172234490920698,0.24028566854918304,0.5295735469834499,-0.28928787843426684,-0.605212390422821,-0.3670634925365448,-0.03050091303884983,-0.6000792980194092,0.1376665085554123,0.1749390810728073,0.08628181273724661,0.1303445985514599,0.08729015809863507,0.16673989635487796,-0.31597714108284836,0.2904472982120957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,2009,27.809447331221325,0.18768393038649508,0.02345950194759315,0.010246869422643247,0.0038969056849798007,0.04478766851859348,1.6898887687903333e-9,0.008782288316420205,0.010816122996556743,0.01187179813638769,0.026690274979003697,0.05232483318668045,0.773442194439678,0.31302446540423007,0.24344109539853154,0.5065441503654735,-0.26310305496694203,-0.5452709197998047,-0.2559414803981781,-0.04514051228761673,-0.49437016248703003,0.24144600331783295,0.1414773315191269,0.0376032770552162,0.08983123116224088,0.06544175666129015,0.0239869162018352,-0.06599370076172484,0.6708803163317311,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
